age,workclass,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
25.0, Private, 11th, Never-married, Machine-op-inspct, Own-child, Black, Male,0.0,0.0,40.0, United-States, <=50K
38.0, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
28.0, Local-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
44.0, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,7688.0,0.0,40.0, United-States, >50K
18.0, ?, Some-college, Never-married, ?, Own-child, White, Female,0.0,0.0,30.0, United-States, <=50K
34.0, Private, 10th, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,30.0, United-States, <=50K
29.0, ?, HS-grad, Never-married, ?, Unmarried, Black, Male,0.0,0.0,40.0, United-States, <=50K
63.0, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103.0,0.0,32.0, United-States, >50K
24.0, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
55.0, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,10.0, United-States, <=50K
65.0, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,6418.0,0.0,40.0, United-States, >50K
36.0, Federal-gov, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
26.0, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,39.0, United-States, <=50K
58.0, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,35.0, United-States, <=50K
48.0, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103.0,0.0,48.0, United-States, >50K
43.0, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
20.0, State-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0.0,0.0,25.0, United-States, <=50K
43.0, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,30.0, United-States, <=50K
37.0, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Female,0.0,0.0,20.0, United-States, <=50K
40.0, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0.0,0.0,45.0,Other, >50K
34.0, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,47.0, United-States, >50K
34.0, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0.0,0.0,35.0, United-States, <=50K
72.0, ?, 7th-8th, Divorced, ?, Not-in-family, White, Female,0.0,0.0,6.0, United-States, <=50K
25.0, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,43.0,Other, <=50K
25.0, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
45.0, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7298.0,0.0,90.0, United-States, >50K
22.0, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,20.0, United-States, <=50K
23.0, Private, HS-grad, Separated, Machine-op-inspct, Unmarried, Black, Male,0.0,0.0,54.0, United-States, <=50K
54.0, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,35.0, United-States, <=50K
32.0, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,60.0, United-States, <=50K
46.0, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7688.0,0.0,38.0, United-States, >50K
56.0, Self-emp-not-inc, 11th, Widowed, Other-service, Unmarried, White, Female,0.0,0.0,50.0, United-States, <=50K
24.0, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,50.0, United-States, <=50K
23.0, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
26.0, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
65.0, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
36.0, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
22.0, Private, 5th-6th, Never-married, Priv-house-serv, Not-in-family, White, Male,0.0,0.0,50.0,Other, <=50K
17.0, Private, 10th, Never-married, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
20.0, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
65.0, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
44.0, Self-emp-inc, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,45.0, United-States, >50K
36.0, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
29.0, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
20.0, State-gov, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0.0,0.0,32.0, United-States, <=50K
